"","LocationID","Borough","Zone","service_zone"
"1",1,"EWR","Newark Airport","EWR"
"2",2,"Queens","Jamaica Bay","Boro Zone"
"3",3,"Bronx","Allerton/Pelham Gardens","Boro Zone"
"4",4,"Manhattan","Alphabet City","Yellow Zone"
"5",5,"Staten Island","Arden Heights","Boro Zone"
"6",6,"Staten Island","Arrochar/Fort Wadsworth","Boro Zone"
"7",7,"Queens","Astoria","Boro Zone"
"8",8,"Queens","Astoria Park","Boro Zone"
"9",9,"Queens","Auburndale","Boro Zone"
"10",10,"Queens","Baisley Park","Boro Zone"
"11",11,"Brooklyn","Bath Beach","Boro Zone"
"12",12,"Manhattan","Battery Park","Yellow Zone"
"13",13,"Manhattan","Battery Park City","Yellow Zone"
"14",14,"Brooklyn","Bay Ridge","Boro Zone"
"15",15,"Queens","Bay Terrace/Fort Totten","Boro Zone"
"16",16,"Queens","Bayside","Boro Zone"
"17",17,"Brooklyn","Bedford","Boro Zone"
"18",18,"Bronx","Bedford Park","Boro Zone"
"19",19,"Queens","Bellerose","Boro Zone"
"20",20,"Bronx","Belmont","Boro Zone"
"21",21,"Brooklyn","Bensonhurst East","Boro Zone"
"22",22,"Brooklyn","Bensonhurst West","Boro Zone"
"23",23,"Staten Island","Bloomfield/Emerson Hill","Boro Zone"
"24",24,"Manhattan","Bloomingdale","Yellow Zone"
"25",25,"Brooklyn","Boerum Hill","Boro Zone"
"26",26,"Brooklyn","Borough Park","Boro Zone"
"27",27,"Queens","Breezy Point/Fort Tilden/Riis Beach","Boro Zone"
"28",28,"Queens","Briarwood/Jamaica Hills","Boro Zone"
"29",29,"Brooklyn","Brighton Beach","Boro Zone"
"30",30,"Queens","Broad Channel","Boro Zone"
"31",31,"Bronx","Bronx Park","Boro Zone"
"32",32,"Bronx","Bronxdale","Boro Zone"
"33",33,"Brooklyn","Brooklyn Heights","Boro Zone"
"34",34,"Brooklyn","Brooklyn Navy Yard","Boro Zone"
"35",35,"Brooklyn","Brownsville","Boro Zone"
"36",36,"Brooklyn","Bushwick North","Boro Zone"
"37",37,"Brooklyn","Bushwick South","Boro Zone"
"38",38,"Queens","Cambria Heights","Boro Zone"
"39",39,"Brooklyn","Canarsie","Boro Zone"
"40",40,"Brooklyn","Carroll Gardens","Boro Zone"
"41",41,"Manhattan","Central Harlem","Boro Zone"
"42",42,"Manhattan","Central Harlem North","Boro Zone"
"43",43,"Manhattan","Central Park","Yellow Zone"
"44",44,"Staten Island","Charleston/Tottenville","Boro Zone"
"45",45,"Manhattan","Chinatown","Yellow Zone"
"46",46,"Bronx","City Island","Boro Zone"
"47",47,"Bronx","Claremont/Bathgate","Boro Zone"
"48",48,"Manhattan","Clinton East","Yellow Zone"
"49",49,"Brooklyn","Clinton Hill","Boro Zone"
"50",50,"Manhattan","Clinton West","Yellow Zone"
"51",51,"Bronx","Co-Op City","Boro Zone"
"52",52,"Brooklyn","Cobble Hill","Boro Zone"
"53",53,"Queens","College Point","Boro Zone"
"54",54,"Brooklyn","Columbia Street","Boro Zone"
"55",55,"Brooklyn","Coney Island","Boro Zone"
"56",56,"Queens","Corona","Boro Zone"
"57",57,"Queens","Corona","Boro Zone"
"58",58,"Bronx","Country Club","Boro Zone"
"59",59,"Bronx","Crotona Park","Boro Zone"
"60",60,"Bronx","Crotona Park East","Boro Zone"
"61",61,"Brooklyn","Crown Heights North","Boro Zone"
"62",62,"Brooklyn","Crown Heights South","Boro Zone"
"63",63,"Brooklyn","Cypress Hills","Boro Zone"
"64",64,"Queens","Douglaston","Boro Zone"
"65",65,"Brooklyn","Downtown Brooklyn/MetroTech","Boro Zone"
"66",66,"Brooklyn","DUMBO/Vinegar Hill","Boro Zone"
"67",67,"Brooklyn","Dyker Heights","Boro Zone"
"68",68,"Manhattan","East Chelsea","Yellow Zone"
"69",69,"Bronx","East Concourse/Concourse Village","Boro Zone"
"70",70,"Queens","East Elmhurst","Boro Zone"
"71",71,"Brooklyn","East Flatbush/Farragut","Boro Zone"
"72",72,"Brooklyn","East Flatbush/Remsen Village","Boro Zone"
"73",73,"Queens","East Flushing","Boro Zone"
"74",74,"Manhattan","East Harlem North","Boro Zone"
"75",75,"Manhattan","East Harlem South","Boro Zone"
"76",76,"Brooklyn","East New York","Boro Zone"
"77",77,"Brooklyn","East New York/Pennsylvania Avenue","Boro Zone"
"78",78,"Bronx","East Tremont","Boro Zone"
"79",79,"Manhattan","East Village","Yellow Zone"
"80",80,"Brooklyn","East Williamsburg","Boro Zone"
"81",81,"Bronx","Eastchester","Boro Zone"
"82",82,"Queens","Elmhurst","Boro Zone"
"83",83,"Queens","Elmhurst/Maspeth","Boro Zone"
"84",84,"Staten Island","Eltingville/Annadale/Prince's Bay","Boro Zone"
"85",85,"Brooklyn","Erasmus","Boro Zone"
"86",86,"Queens","Far Rockaway","Boro Zone"
"87",87,"Manhattan","Financial District North","Yellow Zone"
"88",88,"Manhattan","Financial District South","Yellow Zone"
"89",89,"Brooklyn","Flatbush/Ditmas Park","Boro Zone"
"90",90,"Manhattan","Flatiron","Yellow Zone"
"91",91,"Brooklyn","Flatlands","Boro Zone"
"92",92,"Queens","Flushing","Boro Zone"
"93",93,"Queens","Flushing Meadows-Corona Park","Boro Zone"
"94",94,"Bronx","Fordham South","Boro Zone"
"95",95,"Queens","Forest Hills","Boro Zone"
"96",96,"Queens","Forest Park/Highland Park","Boro Zone"
"97",97,"Brooklyn","Fort Greene","Boro Zone"
"98",98,"Queens","Fresh Meadows","Boro Zone"
"99",99,"Staten Island","Freshkills Park","Boro Zone"
"100",100,"Manhattan","Garment District","Yellow Zone"
"101",101,"Queens","Glen Oaks","Boro Zone"
"102",102,"Queens","Glendale","Boro Zone"
"103",103,"Manhattan","Governor's Island/Ellis Island/Liberty Island","Yellow Zone"
"104",104,"Manhattan","Governor's Island/Ellis Island/Liberty Island","Yellow Zone"
"105",105,"Manhattan","Governor's Island/Ellis Island/Liberty Island","Yellow Zone"
"106",106,"Brooklyn","Gowanus","Boro Zone"
"107",107,"Manhattan","Gramercy","Yellow Zone"
"108",108,"Brooklyn","Gravesend","Boro Zone"
"109",109,"Staten Island","Great Kills","Boro Zone"
"110",110,"Staten Island","Great Kills Park","Boro Zone"
"111",111,"Brooklyn","Green-Wood Cemetery","Boro Zone"
"112",112,"Brooklyn","Greenpoint","Boro Zone"
"113",113,"Manhattan","Greenwich Village North","Yellow Zone"
"114",114,"Manhattan","Greenwich Village South","Yellow Zone"
"115",115,"Staten Island","Grymes Hill/Clifton","Boro Zone"
